"Event","Media ID","Name","Business Name","Return Type","Total Amount"
"2004 Federal Election","5198","3XY Greek Radio","Greek Broadcasters P/L","Broadcaster","0"
"2004 Federal Election","4113","3YB","Ace Radio Broadcasters","Broadcaster","1507"
"2004 Federal Election","5201","3YBF (Coast FM)","Ace Radio Broadcasters","Broadcaster","1023"
"2004 Federal Election","5276","3YYR","94.7 The Pulse","Broadcaster","4600"
"2004 Federal Election","5024","4AA","AMI Radio Pty Ltd","Broadcaster","3223"
"2004 Federal Election","4222","4AK","Radio 4AK Pty Ltd","Broadcaster","0"
"2004 Federal Election","4324","4BAY","Bayside Community Radio Association Inc","Broadcaster","1265"
"2004 Federal Election","747","4BC","Radio 4BC Brisbane Pty Ltd","Broadcaster","57169"
"2004 Federal Election","4834","4BCR","Coral Coast Community Radio 94.7FM","Broadcaster","0"
"2004 Federal Election","5029","4BH","Queensland Radio 2000 Pty Ltd","Broadcaster","14046"
"2004 Federal Election","5109","4BI T/A Radio 1197AM","Brisbane Interactive Radion Group Inc","Broadcaster","0"
"2004 Federal Election","4861","4BRR- Burnett River Radio","Central Burnett Community Radio Inc","Broadcaster","50"
"2004 Federal Election","4086","4CBL","Radio Logan Inc.","Broadcaster","0"
"2004 Federal Election","4835","4CCC","Warwick Community FM Radio Assoc Inc","Broadcaster","150"
"2004 Federal Election","5192","4CCR","Cairns FM 89.1","Broadcaster","0"
"2004 Federal Election","4877","4CLG","Sunshine Coast Christian Broadcasters Assn Inc","Broadcaster","0"
"2004 Federal Election","5230","4CRB 89.3FM","Kalwun Development Corporation Ltd","Broadcaster","0"
"2004 Federal Election","5060","4CRB FM","Gold Coast Christian and Community Broadcasting Ass","Broadcaster","2970"
"2004 Federal Election","4081","4CRM 107.5FM","Community Radio Association Mackay Inc.","Broadcaster","0"
"2004 Federal Election","4836","4CSB","Community Radio Of Wondai Ass Inc","Broadcaster","0"
"2004 Federal Election","5064","4DDB FM 102.7","Darling Downs Broadcasting Society Inc","Broadcaster","434"
"2004 Federal Election","4092","4EL","AM 846 Easy Listening Cairns","Broadcaster","8053"
"2004 Federal Election","4286","4FCR","Fraser Coast Community Radio Inc","Broadcaster","0"
"2004 Federal Election","4481","4GR","Darling Downs Radio Centre","Broadcaster","384517"
"2004 Federal Election","5041","4GY","Gympie Noosa Broadcasters Pty Ltd","Broadcaster","4587"
"2004 Federal Election","5218","4K16 FM Too Deadly","Townsville Aboriginal & Islander Media Association","Broadcaster","22"
"2004 Federal Election","5069","4KQ","ARN Communications Pty Ltd","Broadcaster","34689"
"2004 Federal Election","4541","4KRY (CFM 89.1)","Forsby Pty Ltd","Broadcaster","3801"
"2004 Federal Election","4536","4KZ","Coastal Broadcasters Pty Ltd","Broadcaster","7378"
"2004 Federal Election","5244","4LG","Radio Outback Pty Ltd","Broadcaster","1292"
